================================================================================
    EXHAUSTIVE SYSTEM SENSOR LOG (GLOBAL DISCOVERY)
    Date: Sunday 5 April, 2026
================================================================================

SECTION 1: IOREPORT CHANNELS (Power, Frequency, Residency)
--------------------------------------------------------------------------------
Group: Energy Model    | Channel: ECPU0                          | Value: -9223372036854775808 mJ
Group: AMC Stats       | Channel: GFXC RD                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: GFXC WR                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: GFXC DCS RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: GFXC DCS WR                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SCODEC RT RD                   | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SCODEC RT WR                   | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SCODEC NRT RD                  | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SCODEC NRT WR                  | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SCODEC DCS RD                  | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SCODEC DCS WR                  | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SOC1 RD                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SOC1 WR                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ANS                            | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ANS DCS RD                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ANS DCS WR                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ATC0                           | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ATC0 DCS RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ATC0 DCS WR                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: VENC                           | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: VENC DCS RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: VENC DCS WR                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: NRT DISP RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: RT DISP RD                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISP WR                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISP DCS RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DISP DCS WR                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ISP NRT RD                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ISP RT WR                      | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ISP DCS RD                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: ISP DCS WR                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: JPG                            | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: JPG DCS RD                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: JPG DCS WR                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: MSR                            | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: MSR DCS RD                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: MSR DCS WR                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: PCIE RD                        | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: PCIE DCS RD                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: PCIE DCS WR                    | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SBR                            | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SBR RD                         | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SBR WR                         | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SEP                            | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SEP DCS RD                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SEP DCS WR                     | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SOC RD                         | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: SOC WR                         | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: FABRIC RD                      | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: FABRIC WR                      | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: FABRIC                         | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DCS                            | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DCS RD                         | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DCS WR                         | Value: -9223372036854775808 B
Group: AMC Stats       | Channel: DCS CAS                        | Value: -9223372036854775808 
Group: AMC Stats       | Channel: DCS RAS                        | Value: -9223372036854775808 
Group: AMC Stats       | Channel: DCS SR ENTRIES                 | Value: -9223372036854775808 
Group: AMC Stats       | Channel: DCS PD ENTRIES                 | Value: -9223372036854775808 
Group: AMC Stats       | Channel: DCS SR CYCLES                  | Value: -9223372036854775808 
Group: AMC Stats       | Channel: DCS PD CYCLES                  | Value: -9223372036854775808 
Group: AMC Stats       | Channel: SR duration(usec)              | Value: -9223372036854775808 
Group: AMC Stats       | Channel: PD duration(usec)              | Value: -9223372036854775808 
Group: AMC Stats       | Channel: DSID 0 Hits                    | Value: -9223372036854775808 
Group: AMC Stats       | Channel: DSID 0 Misses                  | Value: -9223372036854775808 
Group: PMP             | Channel: status                         | Value: -9223372036854775808 24Mticks
Group: PMP             | Channel: update count                   | Value: -9223372036854775808 
Group: PMP             | Channel: last update                    | Value: -9223372036854775808 
Group: PMP             | Channel: Duty cycle                     | Value: -9223372036854775808 
Group: PMP             | Channel: Sleep count                    | Value: -9223372036854775808 events
Group: PMP             | Channel: Wake count                     | Value: -9223372036854775808 events
Group: PMP             | Channel: Power state                    | Value: -9223372036854775808 us
Group: PMP             | Channel: Free heap                      | Value: -9223372036854775808 B
Group: PMP             | Channel: Total heap                     | Value: -9223372036854775808 B
Group: PMP             | Channel: Peak heap alloc                | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(0)                  | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(1)                  | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(2)                  | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(3)                  | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(4)                  | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(5)                  | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(6)                  | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(7)                  | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(8)                  | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(9)                  | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(10)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(11)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(12)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(13)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(14)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(15)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(16)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(17)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(18)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(19)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(20)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(21)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(22)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(23)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(24)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(25)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(26)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(27)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(28)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(29)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(30)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Used stack(31)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(0)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(1)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(2)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(3)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(4)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(5)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(6)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(7)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(8)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(9)                 | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(10)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(11)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(12)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(13)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(14)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(15)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(16)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(17)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(18)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(19)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(20)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(21)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(22)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(23)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(24)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(25)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(26)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(27)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(28)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(29)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(30)                | Value: -9223372036854775808 B
Group: PMP             | Channel: Total stack(31)                | Value: -9223372036854775808 B
Group: PMP             | Channel: CPU count                      | Value: -9223372036854775808 events
Group: PMP             | Channel: AMCC RD                        | Value: -9223372036854775808 events
Group: PMP             | Channel: AMCC WR                        | Value: -9223372036854775808 events
Group: PMP             | Channel: AMCC RD+WR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: EACC0 RD                       | Value: -9223372036854775808 events
Group: PMP             | Channel: EACC0 WR                       | Value: -9223372036854775808 events
Group: PMP             | Channel: EACC0 RD+WR                    | Value: -9223372036854775808 events
Group: PMP             | Channel: EACC0 RD                       | Value: -9223372036854775808 events
Group: PMP             | Channel: EACC0 WR                       | Value: -9223372036854775808 events
Group: PMP             | Channel: EACC0 RD+WR                    | Value: -9223372036854775808 events
Group: PMP             | Channel: EACC0                          | Value: -9223372036854775808 events
Group: PMP             | Channel: EACC0                          | Value: -9223372036854775808 events
Group: PMP             | Channel: PACC0 RD                       | Value: -9223372036854775808 events
Group: PMP             | Channel: PACC0 WR                       | Value: -9223372036854775808 events
Group: PMP             | Channel: PACC0 RD+WR                    | Value: -9223372036854775808 events
Group: PMP             | Channel: PACC0 RD                       | Value: -9223372036854775808 events
Group: PMP             | Channel: PACC0 WR                       | Value: -9223372036854775808 events
Group: PMP             | Channel: PACC0 RD+WR                    | Value: -9223372036854775808 events
Group: PMP             | Channel: PACC0                          | Value: -9223372036854775808 events
Group: PMP             | Channel: PACC0                          | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX RD                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX WR                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX RD+WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX RD                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX WR                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX RD+WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX                            | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX                            | Value: -9223372036854775808 events
Group: PMP             | Channel: Mem Latency                    | Value: -9223372036854775808 events
Group: PMP             | Channel: #Mem Trans                     | Value: -9223372036854775808 events
Group: PMP             | Channel: ANE0 RD                        | Value: -9223372036854775808 events
Group: PMP             | Channel: ANE0 WR                        | Value: -9223372036854775808 events
Group: PMP             | Channel: ANE0 RD+WR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: ANE0 RD                        | Value: -9223372036854775808 events
Group: PMP             | Channel: ANE0 WR                        | Value: -9223372036854775808 events
Group: PMP             | Channel: ANE0 RD+WR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: ANE0                           | Value: -9223372036854775808 events
Group: PMP             | Channel: ANE0                           | Value: -9223372036854775808 events
Group: PMP             | Channel: ISP WR                         | Value: -9223372036854775808 events
Group: PMP             | Channel: ISP RD+WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: ISP RD                         | Value: -9223372036854775808 events
Group: PMP             | Channel: ISP WR                         | Value: -9223372036854775808 events
Group: PMP             | Channel: ISP RD+WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: ISP                            | Value: -9223372036854775808 events
Group: PMP             | Channel: ISP                            | Value: -9223372036854775808 events
Group: PMP             | Channel: ISP RT RD                      | Value: -9223372036854775808 events
Group: PMP             | Channel: ISP RT WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: ISP RT RW                      | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP RD                        | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP WR                        | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP RD+WR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP RD                        | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP WR                        | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP RD+WR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP                           | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP                           | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP                           | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP RT RD                     | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP RT WR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: DISP RT RW                     | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT RD                     | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT WR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT RD+WR                  | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT RD                     | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT WR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT RD+WR                  | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT                        | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT                        | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT                        | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT RT RD                  | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT RT WR                  | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPEXT RT RW                  | Value: -9223372036854775808 events
Group: PMP             | Channel: AVE RD                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AVE WR                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AVE RD+WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: AVE RD                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AVE WR                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AVE RD+WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: AVE                            | Value: -9223372036854775808 events
Group: PMP             | Channel: AVE                            | Value: -9223372036854775808 events
Group: PMP             | Channel: AVD RD                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AVD WR                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AVD RD+WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: AVD RD                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AVD WR                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AVD RD+WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: AVD                            | Value: -9223372036854775808 events
Group: PMP             | Channel: AVD                            | Value: -9223372036854775808 events
Group: PMP             | Channel: MSR RD+WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: MSR RD                         | Value: -9223372036854775808 events
Group: PMP             | Channel: MSR WR                         | Value: -9223372036854775808 events
Group: PMP             | Channel: MSR RD+WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: MSR                            | Value: -9223372036854775808 events
Group: PMP             | Channel: MSR                            | Value: -9223372036854775808 events
Group: PMP             | Channel: JPEG RD+WR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: JPEG RD                        | Value: -9223372036854775808 events
Group: PMP             | Channel: JPEG WR                        | Value: -9223372036854775808 events
Group: PMP             | Channel: JPEG RD+WR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: JPEG                           | Value: -9223372036854775808 events
Group: PMP             | Channel: JPEG                           | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC RD                      | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC RD+WR                   | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC RD                      | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC WR                      | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC RD+WR                   | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC                         | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC                         | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC RT RD                   | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC RT WR                   | Value: -9223372036854775808 events
Group: PMP             | Channel: SCODEC RT RW                   | Value: -9223372036854775808 events
Group: PMP             | Channel: LTR                            | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPDFR                        | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPDFR                        | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPDFR RT RD                  | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPDFR RT WR                  | Value: -9223372036854775808 events
Group: PMP             | Channel: DISPDFR RT RW                  | Value: -9223372036854775808 events
Group: PMP             | Channel: #DISP                          | Value: -9223372036854775808 events
Group: PMP             | Channel: #DISPx                         | Value: -9223372036854775808 events
Group: PMP             | Channel: EACC                           | Value: -9223372036854775808 events
Group: PMP             | Channel: PACC                           | Value: -9223372036854775808 events
Group: PMP             | Channel: DELAY                          | Value: -9223372036854775808 events
Group: PMP             | Channel: DCS-BW                         | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX-SLOW-AF-RD-                | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX-FAST-AF-RD-                | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX-SLOW-AF-WR-                | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX-FAST-AF-WR-                | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX-SLOW-DCS-BW                | Value: -9223372036854775808 events
Group: PMP             | Channel: AGX-FAST-DCS-BW                | Value: -9223372036854775808 events
Group: PMP             | Channel: ANE-BW                         | Value: -9223372036854775808 events
Group: PMP             | Channel: DCS-BWR                        | Value: -9223372036854775808 events
Group: PMP             | Channel: DCS-RD-BWR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: DCS-WR-BWR                     | Value: -9223372036854775808 events
Group: PMP             | Channel: SOC0-RD-BWR                    | Value: -9223372036854775808 events
Group: PMP             | Channel: SOC0-WR-BWR                    | Value: -9223372036854775808 events
Group: PMP             | Channel: SOC1-RD-BWR                    | Value: -9223372036854775808 events
Group: PMP             | Channel: SOC1-WR-BWR                    | Value: -9223372036854775808 events
Group: PMP             | Channel: E0_V_T                         | Value: -9223372036854775808 events
Group: PMP             | Channel: P0_V_T                         | Value: -9223372036854775808 events
Group: PMP             | Channel: G0_V_T                         | Value: -9223372036854775808 events
Group: PMP             | Channel: DELAY                          | Value: -9223372036854775808 events
Group: PMP             | Channel: BUSY                           | Value: -9223372036854775808 events
Group: PMP             | Channel: IDLE                           | Value: -9223372036854775808 events
Group: PMP             | Channel: SPILL                          | Value: -9223372036854775808 events
Group: PMP             | Channel: Grp1 Hits                      | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp1 Misses                    | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp2 Hits                      | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp2 Misses                    | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp3 Hits                      | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp3 Misses                    | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp4 Hits                      | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp4 Misses                    | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp5 Hits                      | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp5 Misses                    | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp7 Hits                      | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp7 Misses                    | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp8 Hits                      | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp8 Misses                    | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp10 Hits                     | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp10 Misses                   | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp11 Hits                     | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp11 Misses                   | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp13 Hits                     | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp13 Misses                   | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp14 Hits                     | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp14 Misses                   | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp15 Hits                     | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp15 Misses                   | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp16 Hits                     | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp16 Misses                   | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp17 Hits                     | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp17 Misses                   | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp18 Hits                     | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp18 Misses                   | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp19 Hits                     | Value: -9223372036854775808 B
Group: PMP             | Channel: Grp19 Misses                   | Value: -9223372036854775808 B

SECTION 2: SMC HARDWARE KEYS (Exhaustive Scan)
--------------------------------------------------------------------------------
SMC Key: B1TI  | Value:     10.000
SMC Key: B1WI  | Value:     10.000
SMC Key: BTRT  | Value:      0.700
SMC Key: Bvt2  | Value:      0.735
SMC Key: Bvt3  | Value:      0.612
SMC Key: Bvt4  | Value:     -0.237
SMC Key: Bvt5  | Value:     -0.008
SMC Key: Bvt6  | Value:      0.008
SMC Key: Bvt7  | Value:      4.455
SMC Key: Bvt8  | Value:      4.455
SMC Key: ID0R  | Value:      0.004
SMC Key: IMVC  | Value:      1.521
SMC Key: IP0b  | Value:      2.488
SMC Key: IP1b  | Value:      0.150
SMC Key: IP2b  | Value:      0.364
SMC Key: IP2l  | Value:      0.000
SMC Key: IP4b  | Value:      0.364
SMC Key: IP7b  | Value:      0.398
SMC Key: IP7l  | Value:      0.000
SMC Key: IP8l  | Value:      0.103
SMC Key: IP9b  | Value:      0.357
SMC Key: IP9l  | Value:      0.000
SMC Key: IPBR  | Value:      0.752
SMC Key: IPbb  | Value:      0.291
SMC Key: IPkl  | Value:      0.000
SMC Key: IR4l  | Value:      0.008
SMC Key: IR5b  | Value:      0.022
SMC Key: IR8b  | Value:      0.038
SMC Key: IRcl  | Value:      0.047
SMC Key: Ib0f  | Value:      0.749
SMC Key: Ib8f  | Value:      0.606
SMC Key: MSLm  | Value:      1.000
SMC Key: MSLn  | Value:    103.000
SMC Key: MSMV  | Value:      9.000
SMC Key: PDTR  | Value:      0.000
SMC Key: PHPB  | Value:    255.000
SMC Key: PHPC  | Value:      2.398
SMC Key: PHPM  | Value:      0.738
SMC Key: PHPS  | Value:      4.502
SMC Key: PMVC  | Value:      5.780
SMC Key: PP0b  | Value:      2.463
SMC Key: PP1b  | Value:      0.026
SMC Key: PP2b  | Value:      0.285
SMC Key: PP2l  | Value:      0.000
SMC Key: PP4b  | Value:      0.372
SMC Key: PP7b  | Value:      0.455
SMC Key: PP7l  | Value:      0.000
SMC Key: PP8l  | Value:      0.125
SMC Key: PP9b  | Value:      0.300
SMC Key: PP9l  | Value:      0.000
SMC Key: PPBR  | Value:      9.191
SMC Key: PPbb  | Value:      0.268
SMC Key: PPkl  | Value:      0.000
SMC Key: PR4l  | Value:      0.006
SMC Key: PR5b  | Value:      0.017
SMC Key: PR8b  | Value:      0.023
SMC Key: PRcl  | Value:      0.038
SMC Key: PSTR  | Value:      6.324
SMC Key: PZC0  | Value:      4.527
SMC Key: PZC1  | Value:      3.426
SMC Key: PZCU  | Value:      0.304
SMC Key: PZD1  | Value:      0.392
SMC Key: Pb0f  | Value:      9.150
SMC Key: SBA1  | Value:      4.106
SMC Key: SBA2  | Value:      4.111
SMC Key: SBA3  | Value:      4.111
SMC Key: SBAC  | Value:      0.513
SMC Key: SBAP  | Value:      6.324
SMC Key: SBAR  | Value:   3776.000
SMC Key: SBAS  | Value:     77.000
SMC Key: SBAV  | Value:     12.328
SMC Key: SBAm  | Value:      1.000
SMC Key: SBAn  | Value:    103.000
SMC Key: SDMX  | Value:      4.000
SMC Key: T5SP  | Value:     35.234
SMC Key: TAOL  | Value:     31.938
SMC Key: TB0T  | Value:     34.000
SMC Key: TB1T  | Value:     34.000
SMC Key: TB2T  | Value:     33.200
SMC Key: TCHP  | Value:     36.378
SMC Key: TCMb  | Value:     54.247
SMC Key: TCMz  | Value:     71.822
SMC Key: TDBP  | Value:     35.438
SMC Key: TDeL  | Value:     34.125
SMC Key: TH0T  | Value:     37.491
SMC Key: TH0x  | Value:     37.491
SMC Key: TIOP  | Value:     34.781
SMC Key: TMVR  | Value:     37.315
SMC Key: TPD0  | Value:     48.055
SMC Key: TPD1  | Value:     46.647
SMC Key: TPD2  | Value:     45.997
SMC Key: TPD3  | Value:     45.347
SMC Key: TPD4  | Value:     47.080
SMC Key: TPD5  | Value:     47.405
SMC Key: TPD6  | Value:     46.105
SMC Key: TPD7  | Value:     45.997
SMC Key: TPDX  | Value:     48.055
SMC Key: TPMP  | Value:     39.153
SMC Key: TPSP  | Value:     38.595
SMC Key: TRD0  | Value:     45.239
SMC Key: TRD1  | Value:     44.914
SMC Key: TRD2  | Value:     44.589
SMC Key: TRD3  | Value:     45.239
SMC Key: TRD4  | Value:     45.456
SMC Key: TRD5  | Value:     44.156
SMC Key: TRD6  | Value:     45.022
SMC Key: TRD7  | Value:     45.022
SMC Key: TRDX  | Value:     45.456
SMC Key: TSCD  | Value:     39.712
SMC Key: TVA0  | Value:     30.990
SMC Key: TVD0  | Value:     54.247
SMC Key: TVM0  | Value:     53.408
SMC Key: TVM2  | Value:      0.129
SMC Key: TVM3  | Value:      0.014
SMC Key: TVMC  | Value:     41.809
SMC Key: TVMO  | Value:     11.599
SMC Key: TVS0  | Value:     35.123
SMC Key: TVS1  | Value:     35.237
